mode,invocation_id,runtime_sec,context_load_sec,library_setup_sec,compute_sec,start_wall_time,end_wall_time,checksum,completion_sec,workers
L2,50,0.01686938700004248,0.003867829999762762,0.0,0.0013630560001729464,1781386832.4270353,1781386832.4439068,0.03162277660165232,7.57030987739563,1
L2,51,0.017132937000042148,0.004211942999972962,0.0,0.0013807139998789353,1781386832.5780592,1781386832.595194,0.03162277660165224,7.721597194671631,1
L2,52,0.01675182799999675,0.003765765000025567,0.0,0.0015128710001590662,1781386832.7286658,1781386832.7454195,0.03162277660165202,7.8718225955963135,1
L2,53,0.016489766000177042,0.003694175999953586,0.0,0.0014428409999709402,1781386832.8778205,1781386832.8943121,0.03162277660165236,8.020715236663818,1
L2,54,0.017060341999695083,0.004156039999998029,0.0,0.0013929880001342099,1781386833.0268452,1781386833.0439076,0.031622776601652434,8.170310735702515,1
L2,55,0.016488534000018262,0.0036972580001020106,0.0,0.001426432000243949,1781386833.1767113,1781386833.1932018,0.03162277660165237,8.319604873657227,1
L2,56,0.016463785000269127,0.00372115699974529,0.0,0.0014079010002205905,1781386833.325996,1781386833.3424613,0.03162277660165218,8.468864440917969,1
L2,57,0.017035589999977674,0.004126710000036837,0.0,0.0014137000002847344,1781386833.4747941,1781386833.4918315,0.03162277660165218,8.618234634399414,1
L2,58,0.01655386799984626,0.0037053409996588016,0.0,0.0014724129996466218,1781386833.6251574,1781386833.641713,0.03162277660165203,8.768115997314453,1
L2,59,0.016419256000062887,0.0036612620001506,0.0,0.001435587999822019,1781386833.7739294,1781386833.7903504,0.03162277660165209,8.91675353050232,1
L2,60,0.017964846000268153,0.0038863069999024447,0.0,0.0014701769996463554,1781386833.923128,1781386833.9410946,0.031622776601652,9.067497730255127,1
L2,61,0.01664243899995199,0.0037943469997117063,0.0,0.0013841180002600595,1781386834.0769837,1781386834.0936282,0.03162277660165202,9.220031261444092,1
L2,62,0.017828890000146203,0.0042790739998963545,0.0,0.0014215480000530079,1781386834.2267067,1781386834.2445374,0.03162277660165239,9.370940446853638,1
